match_id,season,city,date,team1_id,team2_id,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,player_of_match_id,venue,venue_id,umpire1,umpire2
2017_17,2017,Bangalore,16-04-2017,RPS,RCB,RCB,field,normal,0,RPS,27,0,Ben Stokes,625,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,KN Ananthapadmanabhan,C Shamshuddin
2017_18,2017,Delhi,17-04-2017,DD,KKR,DD,bat,normal,0,KKR,0,4,Nathan Coulter-Nile,484,"Feroz Shah Kotla Stadium, Delhi",2,Nitin Menon,CK Nandan
2017_19,2017,Hyderabad,17-04-2017,SRH,KXI,KXI,field,normal,0,SRH,5,0,B Kumar,691,"Rajiv Gandhi International Stadium, Hyderabad",4,AY Dandekar,A Deshmukh
2017_20,2017,Rajkot,18-04-2017,RCB,GL,GL,field,normal,0,RCB,21,0,Chris Gayle,79,Saurashtra Cricket Association Stadium,33,S Ravi,VK Sharma
2017_21,2017,Hyderabad,19-04-2017,SRH,DD,SRH,bat,normal,0,SRH,15,0,Kane Williamson,564,"Rajiv Gandhi International Stadium, Hyderabad",4,CB Gaffaney,NJ Llong
2017_22,2017,Indore,20-04-2017,KXI,MI,MI,field,normal,0,MI,0,8,Jos Buttler,581,"Holkar Stadium Cricket Stadium, Indore, Madhya Pradesh",8,M Erasmus,C Shamshuddin
2017_23,2017,Kolkata,21-04-2017,KKR,GL,GL,field,normal,0,GL,0,4,Suresh Raina,24,"Eden Garden Stadium, Kolkata, West Bengal",3,CB Gaffaney,Nitin Menon
2017_24,2017,Mumbai,22-04-2017,MI,DD,DD,field,normal,0,MI,14,0,Mitchell McClenaghan,549,"Wankhede Stadium, Mumbai, Maharashtra",1,A Nand Kishore,S Ravi
2017_25,2017,Pune,22-04-2017,SRH,RPS,RPS,field,normal,0,RPS,0,6,Mahendra Singh Dhoni,1,Maharashtra Cricket Association Stadium,32,AY Dandekar,A Deshmukh
2017_26,2017,Rajkot,23-04-2017,KXI,GL,GL,field,normal,0,KXI,26,0,Hashim Amla,611,Saurashtra Cricket Association Stadium,33,AK Chaudhary,M Erasmus
